id,BG,AG,HA,ED,HE,SE
1,1,3,0,2,2,1
2,1,3,2, ,3,0
3,0,4,1,7,2,0
4, ,2,1,1,2,1
5,0,0,2,3,3, 
6,2,0,2,7,3,2
7,0,4,0, ,0,0
8,1,4,0,2,3,1
9,1,4,0,9,3,2
10,2,2,1,2,0,0
11,0,1,1,1,1,0
12, ,2,0,6,3,2
13,2,3,2,2,1,0
14,0,1,1,1, ,1
15,0,4,2,5,1,0
16,0,2,2,10,3,0
17, ,1,0,9,2, 
18,1,3,2,6, ,1
19,2,4,0,6,0,1
20,1,4, ,7,1,0
21,2,0,2, ,2,2
22,2,1,2,0, ,2
23,2, ,1,0,1,1
24,0,3,0,3,2,0
25,2,0,2,6,2,2
26,1, ,2,0,0,1
27,1,3, ,2,3,0
28,0,0,1,7,2,1
29,1,3,1, ,1,2
30,1,3,0,5,0,2
31,0,1,2,8,3,1
32,2,0,1,6,1,1
33,1,3,1,3,1, 
34,0,1,0,3,1,0
35,2, ,1,2,1,1
36,1,2,0,5,2,2
37,2,0,1,3,1,1
38,2,4,2,7,3,1
39,1, ,0,7,0,1
40,2,0,1,4, , 
41,1,3,2,9,0,0
42,2,4,0,2, , 
43,2, ,1,7,3,0
44,1,0,0, ,1,2
45,1,2,0,0,2,0
46,1, ,1,1,2,1
47,0,2,0,10,2,0
48, ,0,2,0,1,0
49,0,0,1,2,0,2
50,2,3,2,8,1,2
51,0,1,0,9,3,0
52,1,4, ,6,2,2
53,1,4,2,8,3,0
54,2,4, ,7,3,2
55,1,3,0, , ,1
56,2, , , ,1,1
57,2,1,2,5,0,1
58,0,4,1,2,3,1
59,1,1,0,3,0,0
60,0,2,0,1,0,1
61,2,2,1,9,0,1
62,2,0,1,5,1, 
63,0,3,2,0,3,1
64,2,2,0,7,0,2
65, ,0,1,6,1,0
66, ,1,0,8,3,0
67,1,3,0, ,3,1
68,1,3,0,8,3,2
69,0,0,1, ,3,2
70,0,2,1,3,2,1
71,0,4,0, ,1,0
72,1,3,2,6,3,1
73,0, , ,1,0,1
74,0,3, ,7,2, 
75,1,0,0,5,2,2
76,0,1,0,0, ,2
77,1,4,0,3,2, 
78,2, ,0,6,3,0
79,1,0,2,1,3,2
80,1,1,2,8,2,1
81,0,3,1,5,2,0
82,0, ,2,4,2,2
83,1,1, ,4,2,0
84,1,1,0,10,3, 
85,2,0,1,2,1,2
86,1,3,1, ,1,1
87,0,0,2,4,2,2
88,1, ,0, ,3,1
89,2, ,2,3,1,2
90,0,0, ,1, ,0
91,2,3,2,1,2, 
92,2,3,2,2, , 
93,0,0,0, ,3,2
94,1,3,2,4,2,0
95,2,0,2,10,1,1
96,0,1,1,10,3,1
97,2,4, , ,0,0
98,2,1,1,8,0,1
99,1,3,2,8,3,0
100, ,4,0,2,2,1
101,2,4,0, ,1,1
102,0,2,1,1,3,0
103,2,0,1,6,0,1
104,1,1,2,2,2,0
105, ,4,0,7, ,0
106,2,1,2,6,2,0
107,1,4,0,8,2,2
108,0,0,0, ,2,0
109,0,3,1,7,1,0
110,0,2,0,2,0,1
111,2,4,2,1,2,2
112,0,4,0,0,0,1
113,0,3,0,10,2,1
114,1,4,1,6,2,0
115,2,2,1,6,0,2
116,2,3,1,8,1,2
117,0,0,0,4,3,1
118,1,1,2,7,2,2
119,0, ,1,3,1, 
120,1,0,2,8,2,1
121,1,2,0,10,3, 
122,0,3, ,7,2,2
123,0,3,2,7, ,2
124,2,4,2,4,0,1
125,0,1, ,6,0,1
126,1,0,2,3,3,0
127,0, ,2,2,1,0
128,1, ,1,8,1,0
129,1, , , ,2,1
130,2,0,2,3,2,2
131,1,2,0,9, ,1
132,2,4,0,9,0,0
133,2,4,2,1,3, 
134,2,1, ,10,1, 
135, ,2,2,10,2,1
136, ,4,2,6,1,2
137,0,4,0,5,0,0
138,2,3,2,2,3,2
139,2,2,2,5,3,2
140,0,0,0,0,0,1
141,0,3,0,1,3,0
142,0,1,0,0,0,2
143,2, ,2,5,1,0
144,1,1,2,4,0,0
145,0,3,0,0,3,0
146,2,0,1,2,2,1
147,0,1, ,9,0,1
148,2,2,1,10,2,0
149,2,4,1,2,2,0
150,1, ,2, ,1,2
151,1,1,2,8,1,1
152,1,0,1,3,3,2
153,1,0,2,7,2,0
154,0,0,1,4,3, 
155,0,3,2,0,0,2
156,2, ,2,10,2, 
157,0,0, ,1,0,2
158,1,1,1,1,2,2
159,2,0,2, ,1,2
160, ,3,1,4,2,0
161,0,3,2,9,0,1
162,2,3, ,5,3,0
163,2,4,2,2,3,0
164,0,2,2,9,1,2
165,0,2,1,2,1,1
166,0, , , ,0,2
167,0, ,1,4,1,1
168, ,3,2,3,1,2
169,0,3, ,10,3,1
170,1,3,0,0,0,0
171,1,0,2,1,2,1
172,0,2,0,9,3,0
173,0,0,1,10,2,0
174,2,1,1,6,3,0
175,2,2, ,9, ,2
176,1,3,1,4,3,1
177,0, ,2,0,2,0
178,0,3, ,4,0,0
179,0,1,1,6,3,0
180, ,4,1,9,2,2
181,1,4,1,8,3,0
182,0,0,2,9,3, 
183,0,3,2,0,1,2
184,0,4,0,2,1,1
185,1,3,1, ,1,2
